shape_idx,orig_label,rf_label,n_points_orig,n_points_rf,label_match,recovered_vertices,cap_strict,cap_bidir,align_rmse,mean_nn_dist,distance_threshold,recovered_indices,visualization_path
0,wall,wall,8,9,1,8,1.000000,1.000000,21.255998,0.476495,20.000000,2 3 4 5 6 7 0 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_000_wall.png
1,wall,wall,4,5,1,4,1.000000,1.000000,3.754733,6.026700,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_001_wall.png
2,wall,wall,4,5,1,4,0.000000,1.000000,6.350439,7.474576,20.000000,1 0 3 2,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_002_wall.png
3,wall,wall,6,7,1,6,0.000000,1.000000,12.434956,7.501860,20.000000,5 4 3 2 1 0,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_003_wall.png
4,wall,wall,4,5,1,4,0.250000,0.500000,4.481145,7.550556,20.000000,1 3 0 2,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_004_wall.png
5,wall,wall,6,7,1,4,0.250000,0.500000,10.968225,9.957850,20.000000,0 2 3 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_005_wall.png
6,wall,wall,6,7,1,6,0.000000,1.000000,5.846466,3.914674,20.000000,5 4 3 2 1 0,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_006_wall.png
7,wall,wall,10,11,1,10,0.000000,1.000000,14.595007,7.213034,20.000000,9 8 7 6 5 4 3 2 1 0,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_007_wall.png
8,wall,wall,6,7,1,6,1.000000,1.000000,7.241749,6.053169,20.000000,2 3 4 5 0 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_008_wall.png
9,wall,wall,4,5,1,4,1.000000,1.000000,0.093637,0.096382,20.000000,2 3 0 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_009_wall.png
10,wall,wall,4,5,1,4,0.000000,1.000000,7.180165,14.918897,20.000000,1 0 3 2,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_010_wall.png
11,wall,wall,6,7,1,6,0.000000,1.000000,1.763423,1.415148,20.000000,5 4 3 2 1 0,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_011_wall.png
12,wall,wall,8,9,1,8,0.125000,0.750000,11.521041,7.980057,20.000000,0 6 5 4 3 2 1 7,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_012_wall.png
