shape_idx,orig_label,rf_label,n_points_orig,n_points_rf,label_match,recovered_vertices,cap_strict,cap_bidir,align_rmse,mean_nn_dist,distance_threshold,recovered_indices,visualization_path
0,wall,wall,8,8,1,8,1.000000,1.000000,0.000444,0.000405,20.000000,0 1 2 3 4 5 6 7,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_000_wall.png
1,wall,wall,4,4,1,4,1.000000,1.000000,0.000143,0.000405,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_001_wall.png
2,wall,wall,4,4,1,4,1.000000,1.000000,0.000288,0.000318,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_002_wall.png
3,wall,wall,6,6,1,6,1.000000,1.000000,0.000151,0.000192,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_003_wall.png
4,wall,wall,4,4,1,4,1.000000,1.000000,0.000305,0.000447,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_004_wall.png
5,wall,wall,6,6,1,6,1.000000,1.000000,0.000287,0.000353,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_005_wall.png
6,wall,wall,6,6,1,6,1.000000,1.000000,0.000153,0.000373,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_006_wall.png
7,wall,wall,10,10,1,10,1.000000,1.000000,0.000354,0.000357,20.000000,0 1 2 3 4 5 6 7 8 9,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_007_wall.png
8,wall,wall,6,6,1,6,1.000000,1.000000,0.000420,0.000469,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_008_wall.png
9,wall,wall,4,4,1,4,1.000000,1.000000,0.000311,0.000406,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_009_wall.png
10,wall,wall,4,4,1,4,1.000000,1.000000,0.000302,0.000300,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_010_wall.png
11,wall,wall,6,6,1,6,1.000000,1.000000,0.000237,0.000339,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_011_wall.png
12,wall,wall,8,8,1,8,1.000000,1.000000,0.000368,0.000448,20.000000,0 1 2 3 4 5 6 7,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_012_wall.png
13,wall,wall,10,10,1,10,1.000000,1.000000,0.000432,0.000252,20.000000,0 1 2 3 4 5 6 7 8 9,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_013_wall.png
14,wall,wall,6,6,1,6,1.000000,1.000000,0.000237,0.000336,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_014_wall.png
15,wall,wall,8,8,1,8,1.000000,1.000000,0.000482,0.000286,20.000000,0 1 2 3 4 5 6 7,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_015_wall.png
16,wall,wall,4,4,1,4,1.000000,1.000000,0.000205,0.000271,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_016_wall.png
17,wall,wall,4,4,1,4,1.000000,1.000000,0.000357,0.000375,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_017_wall.png
18,wall,wall,4,4,1,4,1.000000,1.000000,0.000361,0.000548,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_018_wall.png
19,wall,wall,4,4,1,4,1.000000,1.000000,0.000301,0.000411,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_019_wall.png
20,wall,wall,8,8,1,8,1.000000,1.000000,0.000483,0.000570,20.000000,0 1 2 3 4 5 6 7,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_020_wall.png
21,wall,wall,4,4,1,4,1.000000,1.000000,0.000194,0.000400,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_021_wall.png
22,wall,wall,4,4,1,4,1.000000,1.000000,0.000184,0.000258,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_022_wall.png
23,wall,wall,4,4,1,4,1.000000,1.000000,0.000273,0.000303,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_023_wall.png
24,wall,wall,4,4,1,4,1.000000,1.000000,0.000429,0.000502,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_024_wall.png
25,wall,wall,18,18,1,18,1.000000,1.000000,0.000720,0.000507,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_025_wall.png
26,wall,wall,6,6,1,6,1.000000,1.000000,0.000284,0.000326,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_026_wall.png
27,wall,wall,6,6,1,6,1.000000,1.000000,0.000259,0.000333,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_027_wall.png
28,wall,wall,4,4,1,4,1.000000,1.000000,0.000157,0.000210,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_028_wall.png
29,wall,wall,12,12,1,12,1.000000,1.000000,0.000437,0.000368,20.000000,0 1 2 3 4 5 6 7 8 9 10 11,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_029_wall.png
30,wall,wall,22,22,1,22,1.000000,1.000000,0.000705,0.000369,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_030_wall.png
31,wall,wall,4,4,1,4,1.000000,1.000000,0.000335,0.000399,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_031_wall.png
32,wall,wall,4,4,1,4,1.000000,1.000000,0.000095,0.000159,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_032_wall.png
33,wall,wall,4,4,1,4,1.000000,1.000000,0.000093,0.000114,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_033_wall.png
34,wall,wall,4,4,1,4,1.000000,1.000000,0.000172,0.000238,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_034_wall.png
35,wall,wall,8,8,1,8,1.000000,1.000000,0.001075,0.000529,20.000000,0 1 2 3 4 5 6 7,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_035_wall.png
36,wall,wall,12,12,1,12,1.000000,1.000000,0.000367,0.000460,20.000000,0 1 2 3 4 5 6 7 8 9 10 11,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_036_wall.png
37,wall,wall,4,4,1,4,1.000000,1.000000,0.000134,0.000265,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_037_wall.png
38,wall,wall,6,6,1,6,1.000000,1.000000,0.000626,0.000456,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_038_wall.png
39,wall,wall,4,4,1,4,1.000000,1.000000,0.000261,0.000262,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_039_wall.png
40,balcony,balcony,4,4,1,4,1.000000,1.000000,0.000276,0.000374,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a\visualizations\shape_040_balcony.png
