================ SHAPE SUMMARY ================
Original:  TE_C_00006.json | polygon shapes = 58
Roboflow:  TE_C_00006_png.rf.530ebfcc7e90860aadac0a81a1c2632a.json | polygon shapes = 58
------------------------------------------------
idx | label | n_points_orig | n_points_roboflow
------------------------------------------------
  0 | wall / wall |            8 |                8
  1 | wall / wall |            4 |                4
  2 | wall / wall |            4 |                4
  3 | wall / wall |            6 |                6
  4 | wall / wall |            4 |                4
  5 | wall / wall |            6 |                6
  6 | wall / wall |            6 |                6
  7 | wall / wall |           10 |               10
  8 | wall / wall |            6 |                6
  9 | wall / wall |            4 |                4
 10 | wall / wall |            4 |                4
 11 | wall / wall |            6 |                6
 12 | wall / wall |            8 |                8
 13 | wall / wall |           10 |               10
 14 | wall / wall |            6 |                6
 15 | wall / wall |            8 |                8
 16 | wall / wall |            4 |                4
 17 | wall / wall |            4 |                4
 18 | wall / wall |            4 |                4
 19 | wall / wall |            4 |                4
 20 | wall / wall |            8 |                8
 21 | wall / wall |            4 |                4
 22 | wall / wall |            4 |                4
 23 | wall / wall |            4 |                4
 24 | wall / wall |            4 |                4
 25 | wall / wall |           18 |               18
 26 | wall / wall |            6 |                6
 27 | wall / wall |            6 |                6
 28 | wall / wall |            4 |                4
 29 | wall / wall |           12 |               12
 30 | wall / wall |           22 |               22
 31 | wall / wall |            4 |                4
 32 | wall / wall |            4 |                4
 33 | wall / wall |            4 |                4
 34 | wall / wall |            4 |                4
 35 | wall / wall |            8 |                8
 36 | wall / wall |           12 |               12
 37 | wall / wall |            4 |                4
 38 | wall / wall |            6 |                6
 39 | wall / wall |            4 |                4
 40 | balcony / balcony |            4 |                4
 41 | bed_room / bed_room |            8 |                8
 42 | entrance / entrance |           10 |               10
 43 | dressing_room / dressing_room |            4 |                4
 44 | bed_room / bed_room |            6 |                6
 45 | balcony / balcony |            4 |                4
 46 | bed_room / bed_room |            6 |                6
 47 | balcony / balcony |            8 |                8
 48 | bathroom / bathroom |           10 |               10
 49 | bathroom / bathroom |           10 |               10
 50 | living_kitchen / living_kitchen |           12 |               12
 51 | bed_room / bed_room |           14 |               14
 52 | balcony / balcony |           36 |               36
 53 | others / others |            6 |                6
 54 | others / others |            6 |                6
 55 | others / others |            4 |                4
 56 | others / others |            4 |                4
 57 | background / background |           32 |               32
================================================
