shape_idx,orig_label,rf_label,n_points_orig,n_points_rf,label_match,recovered_vertices,cap_strict,cap_bidir,align_rmse,mean_nn_dist,distance_threshold,recovered_indices,visualization_path
0,wall,wall,8,9,1,8,1.000000,1.000000,21.255833,0.476233,20.000000,2 3 4 5 6 7 0 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_000_wall.png
1,wall,wall,4,5,1,4,1.000000,1.000000,3.754774,6.026710,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_001_wall.png
2,wall,wall,4,5,1,4,0.000000,1.000000,6.350313,7.474478,20.000000,1 0 3 2,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_002_wall.png
3,wall,wall,6,7,1,6,0.000000,1.000000,12.434959,7.501983,20.000000,5 4 3 2 1 0,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_003_wall.png
4,wall,wall,4,5,1,4,0.250000,0.500000,4.481473,7.550849,20.000000,1 3 0 2,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_004_wall.png
5,wall,wall,6,7,1,4,0.250000,0.500000,10.968316,9.957960,20.000000,0 2 3 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_005_wall.png
6,wall,wall,6,7,1,6,0.000000,1.000000,5.846536,3.914783,20.000000,5 4 3 2 1 0,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_006_wall.png
7,wall,wall,10,11,1,10,0.000000,1.000000,14.595565,7.213172,20.000000,9 8 7 6 5 4 3 2 1 0,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_007_wall.png
8,wall,wall,6,7,1,6,1.000000,1.000000,7.241322,6.052672,20.000000,2 3 4 5 0 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_008_wall.png
9,wall,wall,4,5,1,4,1.000000,1.000000,0.093487,0.096228,20.000000,2 3 0 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_009_wall.png
10,wall,wall,4,5,1,4,0.000000,1.000000,7.179972,14.918835,20.000000,1 0 3 2,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_010_wall.png
11,wall,wall,6,7,1,6,0.000000,1.000000,1.763648,1.415306,20.000000,5 4 3 2 1 0,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_011_wall.png
12,wall,wall,8,9,1,8,0.125000,0.750000,11.520818,7.979867,20.000000,0 6 5 4 3 2 1 7,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_012_wall.png
13,wall,wall,10,11,1,10,1.000000,1.000000,0.348372,0.094037,20.000000,2 3 4 5 6 7 8 9 0 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_013_wall.png
14,wall,wall,6,7,1,6,0.000000,1.000000,10.125762,8.848511,20.000000,5 4 3 2 1 0,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_014_wall.png
15,wall,wall,8,9,1,8,0.000000,0.625000,11.740790,7.446329,20.000000,7 6 5 4 3 1 0 2,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_015_wall.png
16,wall,wall,4,5,1,4,0.000000,1.000000,8.401356,13.571302,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_016_wall.png
17,wall,wall,4,5,1,4,0.000000,1.000000,4.926999,6.917637,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_017_wall.png
18,wall,wall,4,5,1,4,0.250000,0.500000,7.531617,9.790114,20.000000,0 2 1 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_018_wall.png
19,wall,wall,4,5,1,4,0.000000,1.000000,8.006578,15.716434,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_019_wall.png
20,wall,wall,8,9,1,8,0.000000,1.000000,2.084197,2.185689,20.000000,7 6 5 4 3 2 1 0,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_020_wall.png
21,wall,wall,4,5,1,4,0.250000,0.500000,7.058754,9.163954,20.000000,0 2 1 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_021_wall.png
22,wall,wall,4,5,1,4,1.000000,1.000000,0.163505,0.168379,20.000000,2 3 0 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_022_wall.png
23,wall,wall,4,5,1,4,0.000000,1.000000,4.522465,13.858747,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_023_wall.png
24,wall,wall,4,5,1,4,0.000000,1.000000,3.141663,7.545468,20.000000,1 0 3 2,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_024_wall.png
25,wall,wall,18,19,1,18,1.000000,1.000000,10.516188,0.970039,20.000000,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 0 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_025_wall.png
26,wall,wall,6,7,1,4,0.000000,0.750000,13.892170,9.816703,20.000000,1 0 3 2,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_026_wall.png
27,wall,wall,6,7,1,6,1.000000,1.000000,0.214624,0.149847,20.000000,2 3 4 5 0 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_027_wall.png
28,wall,wall,4,5,1,4,0.250000,0.500000,4.253490,7.587149,20.000000,1 3 0 2,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_028_wall.png
29,wall,wall,12,13,1,12,1.000000,1.000000,2.769001,0.459140,20.000000,2 3 4 5 6 7 8 9 10 11 0 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_029_wall.png
30,wall,wall,22,23,1,22,0.000000,1.000000,6.682331,1.565389,20.000000,21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8\visualizations\shape_030_wall.png
