================ SHAPE SUMMARY ================
Original:  TE_C_00006.json | polygon shapes = 58
Roboflow:  TE_C_00006_png.rf.5db28abbb0bdad0e49fa58069e1713c8.json | polygon shapes = 59
------------------------------------------------
idx | label | n_points_orig | n_points_roboflow
------------------------------------------------
  0 | wall / wall |            8 |                9
  1 | wall / wall |            4 |                5
  2 | wall / wall |            4 |                5
  3 | wall / wall |            6 |                7
  4 | wall / wall |            4 |                5
  5 | wall / wall |            6 |                7
  6 | wall / wall |            6 |                7
  7 | wall / wall |           10 |               11
  8 | wall / wall |            6 |                7
  9 | wall / wall |            4 |                5
 10 | wall / wall |            4 |                5
 11 | wall / wall |            6 |                7
 12 | wall / wall |            8 |                9
 13 | wall / wall |           10 |               11
 14 | wall / wall |            6 |                7
 15 | wall / wall |            8 |                9
 16 | wall / wall |            4 |                5
 17 | wall / wall |            4 |                5
 18 | wall / wall |            4 |                5
 19 | wall / wall |            4 |                5
 20 | wall / wall |            8 |                9
 21 | wall / wall |            4 |                5
 22 | wall / wall |            4 |                5
 23 | wall / wall |            4 |                5
 24 | wall / wall |            4 |                5
 25 | wall / wall |           18 |               19
 26 | wall / wall |            6 |                7
 27 | wall / wall |            6 |                7
 28 | wall / wall |            4 |                5
 29 | wall / wall |           12 |               13
 30 | wall / wall |           22 |               23
 31 | wall / wall |            4 |                5
 32 | wall / wall |            4 |                5
 33 | wall / wall |            4 |                5
 34 | wall / wall |            4 |                5
 35 | wall / wall |            8 |                9
 36 | wall / wall |           12 |               13
 37 | wall / wall |            4 |                5
 38 | wall / wall |            6 |                7
 39 | wall / wall |            4 |                5
 40 | balcony / balcony |            4 |                5
 41 | bed_room / bed_room |            8 |                9
 42 | entrance / entrance |           10 |               11
 43 | dressing_room / dressing_room |            4 |                5
 44 | bed_room / bed_room |            6 |                7
 45 | balcony / balcony |            4 |                5
 46 | bed_room / bed_room |            6 |                7
 47 | balcony / balcony |            8 |                9
 48 | bathroom / bathroom |           10 |               11
 49 | bathroom / bathroom |           10 |               11
 50 | living_kitchen / living_kitchen |           12 |               13
 51 | bed_room / bed_room |           14 |               15
 52 | balcony / balcony |           36 |               37
 53 | others / others |            6 |                7
 54 | others / others |            6 |                7
 55 | others / others |            4 |                5
 56 | others / others |            4 |                5
 57 | background / background |           32 |               12
================================================
