shape_idx,orig_label,rf_label,n_points_orig,n_points_rf,label_match,recovered_vertices,cap_strict,cap_bidir,align_rmse,mean_nn_dist,distance_threshold,recovered_indices,visualization_path
0,wall,wall,12,13,1,12,0.083333,0.833333,12.274304,3.629183,20.000000,0 10 9 8 7 6 5 4 3 2 1 11,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.3390c26d23d5dfe05cbb19c8b9d5fb3b\visualizations\shape_000_wall.png
1,wall,wall,4,5,1,4,0.000000,1.000000,5.347586,11.746507,20.000000,2 1 0 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.3390c26d23d5dfe05cbb19c8b9d5fb3b\visualizations\shape_001_wall.png
2,wall,wall,4,5,1,4,0.000000,1.000000,5.926046,11.912929,20.000000,1 0 3 2,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.3390c26d23d5dfe05cbb19c8b9d5fb3b\visualizations\shape_002_wall.png
3,wall,wall,4,5,1,4,0.000000,1.000000,0.465895,0.608902,20.000000,1 0 3 2,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.3390c26d23d5dfe05cbb19c8b9d5fb3b\visualizations\shape_003_wall.png
4,wall,wall,4,5,1,4,0.000000,1.000000,5.730683,12.591935,20.000000,1 0 3 2,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.3390c26d23d5dfe05cbb19c8b9d5fb3b\visualizations\shape_004_wall.png
5,wall,wall,4,5,1,4,0.000000,1.000000,6.050174,10.943138,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.3390c26d23d5dfe05cbb19c8b9d5fb3b\visualizations\shape_005_wall.png
6,wall,wall,8,9,1,8,1.000000,1.000000,2.873726,0.700265,20.000000,2 3 4 5 6 7 0 1,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.3390c26d23d5dfe05cbb19c8b9d5fb3b\visualizations\shape_006_wall.png
7,wall,wall,6,7,1,6,0.000000,1.000000,9.218100,9.080594,20.000000,5 4 3 2 1 0,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.3390c26d23d5dfe05cbb19c8b9d5fb3b\visualizations\shape_007_wall.png
8,wall,wall,4,5,1,4,0.000000,1.000000,6.092468,13.384640,20.000000,1 0 3 2,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.3390c26d23d5dfe05cbb19c8b9d5fb3b\visualizations\shape_008_wall.png
9,wall,wall,19,20,1,19,0.000000,1.000000,23.665532,6.337103,20.000000,18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.3390c26d23d5dfe05cbb19c8b9d5fb3b\visualizations\shape_009_wall.png
10,wall,wall,4,5,1,4,0.250000,0.500000,3.650408,4.088524,20.000000,1 3 0 2,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.3390c26d23d5dfe05cbb19c8b9d5fb3b\visualizations\shape_010_wall.png
11,wall,wall,4,5,1,4,1.000000,1.000000,0.915957,0.872240,20.000000,2 3 0 1,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.3390c26d23d5dfe05cbb19c8b9d5fb3b\visualizations\shape_011_wall.png
12,wall,wall,4,5,1,4,0.000000,1.000000,4.720177,6.882920,20.000000,1 0 3 2,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.3390c26d23d5dfe05cbb19c8b9d5fb3b\visualizations\shape_012_wall.png
13,wall,wall,4,5,1,4,0.250000,0.500000,5.456658,10.608813,20.000000,0 2 1 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.3390c26d23d5dfe05cbb19c8b9d5fb3b\visualizations\shape_013_wall.png
14,wall,wall,6,7,1,6,0.500000,0.666667,12.962081,3.721165,20.000000,2 4 5 0 1 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.3390c26d23d5dfe05cbb19c8b9d5fb3b\visualizations\shape_014_wall.png
