shape_idx,orig_label,rf_label,n_points_orig,n_points_rf,label_match,recovered_vertices,cap_strict,cap_bidir,align_rmse,mean_nn_dist,distance_threshold,recovered_indices,visualization_path
0,wall,wall,12,13,1,12,0.083333,0.833333,12.274808,3.629286,20.000000,0 10 9 8 7 6 5 4 3 2 1 11,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.e818c5b06a8773319ff4ef540498bb4f\visualizations\shape_000_wall.png
1,wall,wall,4,5,1,4,0.000000,1.000000,5.347481,11.768679,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.e818c5b06a8773319ff4ef540498bb4f\visualizations\shape_001_wall.png
2,wall,wall,4,5,1,4,0.000000,1.000000,5.926053,11.913054,20.000000,1 0 3 2,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.e818c5b06a8773319ff4ef540498bb4f\visualizations\shape_002_wall.png
3,wall,wall,4,5,1,4,0.000000,1.000000,0.465481,0.608795,20.000000,1 0 3 2,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.e818c5b06a8773319ff4ef540498bb4f\visualizations\shape_003_wall.png
4,wall,wall,4,5,1,4,0.000000,1.000000,5.730849,12.592362,20.000000,1 0 3 2,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.e818c5b06a8773319ff4ef540498bb4f\visualizations\shape_004_wall.png
5,wall,wall,4,5,1,4,0.000000,1.000000,6.050286,10.943093,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.e818c5b06a8773319ff4ef540498bb4f\visualizations\shape_005_wall.png
6,wall,wall,8,9,1,8,1.000000,1.000000,2.874227,0.700415,20.000000,2 3 4 5 6 7 0 1,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.e818c5b06a8773319ff4ef540498bb4f\visualizations\shape_006_wall.png
7,wall,wall,6,7,1,6,0.000000,1.000000,9.218427,9.080555,20.000000,5 4 3 2 1 0,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.e818c5b06a8773319ff4ef540498bb4f\visualizations\shape_007_wall.png
8,wall,wall,4,5,1,4,0.000000,1.000000,6.092509,13.384190,20.000000,1 0 3 2,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.e818c5b06a8773319ff4ef540498bb4f\visualizations\shape_008_wall.png
9,wall,wall,19,20,1,19,0.000000,1.000000,23.665713,6.337211,20.000000,18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.e818c5b06a8773319ff4ef540498bb4f\visualizations\shape_009_wall.png
