shape_idx,orig_label,rf_label,n_points_orig,n_points_rf,label_match,recovered_vertices,cap_strict,cap_bidir,align_rmse,mean_nn_dist,distance_threshold,recovered_indices,visualization_path
0,wall,wall,12,12,1,12,1.000000,1.000000,0.000390,0.000317,20.000000,0 1 2 3 4 5 6 7 8 9 10 11,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_000_wall.png
1,wall,wall,4,4,1,4,1.000000,1.000000,0.000280,0.000287,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_001_wall.png
2,wall,wall,4,4,1,4,1.000000,1.000000,0.000180,0.000238,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_002_wall.png
3,wall,wall,4,4,1,4,1.000000,1.000000,0.000078,0.000129,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_003_wall.png
4,wall,wall,4,4,1,4,1.000000,1.000000,0.000331,0.000428,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_004_wall.png
5,wall,wall,4,4,1,4,1.000000,1.000000,0.000192,0.000403,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_005_wall.png
6,wall,wall,8,8,1,8,1.000000,1.000000,0.000171,0.000219,20.000000,0 1 2 3 4 5 6 7,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_006_wall.png
7,wall,wall,6,6,1,6,1.000000,1.000000,0.000368,0.000406,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_007_wall.png
8,wall,wall,4,4,1,4,1.000000,1.000000,0.000134,0.000245,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_008_wall.png
9,wall,wall,19,19,1,19,1.000000,1.000000,0.000444,0.000405,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_009_wall.png
10,wall,wall,4,4,1,4,1.000000,1.000000,0.000268,0.000371,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_010_wall.png
11,wall,wall,4,4,1,4,1.000000,1.000000,0.000228,0.000325,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_011_wall.png
12,wall,wall,4,4,1,4,1.000000,1.000000,0.000107,0.000264,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_012_wall.png
13,wall,wall,4,4,1,4,1.000000,1.000000,0.000242,0.000363,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_013_wall.png
14,wall,wall,6,6,1,6,1.000000,1.000000,0.000454,0.000369,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_014_wall.png
15,wall,wall,6,6,1,6,1.000000,1.000000,0.000432,0.000415,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_015_wall.png
16,wall,wall,16,16,1,16,1.000000,1.000000,0.000241,0.000486,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_016_wall.png
17,wall,wall,4,4,1,4,1.000000,1.000000,0.000222,0.000320,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_017_wall.png
18,wall,wall,4,4,1,4,1.000000,1.000000,0.000155,0.000187,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_018_wall.png
19,wall,wall,10,10,1,10,1.000000,1.000000,0.000687,0.000448,20.000000,0 1 2 3 4 5 6 7 8 9,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_019_wall.png
20,wall,wall,8,8,1,8,1.000000,1.000000,0.000584,0.000414,20.000000,0 1 2 3 4 5 6 7,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_020_wall.png
21,wall,wall,22,22,1,22,1.000000,1.000000,0.000646,0.000393,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_021_wall.png
22,wall,wall,6,6,1,6,1.000000,1.000000,0.000269,0.000368,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_022_wall.png
23,wall,wall,14,14,1,14,1.000000,1.000000,0.000524,0.000348,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_023_wall.png
24,wall,wall,6,6,1,6,1.000000,1.000000,0.000440,0.000404,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_024_wall.png
25,wall,wall,4,4,1,4,1.000000,1.000000,0.000183,0.000213,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_025_wall.png
26,wall,wall,4,4,1,4,1.000000,1.000000,0.000189,0.000281,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_C_00012\TE_C_00012_png.rf.f1224e78cb4df8c59b8e82e9f0bf589f\visualizations\shape_026_wall.png
