shape_idx,orig_label,rf_label,n_points_orig,n_points_rf,label_match,recovered_vertices,cap_strict,cap_bidir,align_rmse,mean_nn_dist,distance_threshold,recovered_indices,visualization_path
0,wall,wall,44,44,1,44,1.000000,1.000000,0.001127,0.000345,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.2a462dae36546d47e31d8425ca709dde\visualizations\shape_000_wall.png
1,wall,wall,28,28,1,28,1.000000,1.000000,0.000157,0.000100,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.2a462dae36546d47e31d8425ca709dde\visualizations\shape_001_wall.png
2,wall,wall,22,22,1,22,1.000000,1.000000,0.000000,0.000000,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.2a462dae36546d47e31d8425ca709dde\visualizations\shape_002_wall.png
3,wall,wall,36,36,1,36,1.000000,1.000000,0.000956,0.000366,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.2a462dae36546d47e31d8425ca709dde\visualizations\shape_003_wall.png
4,wall,wall,8,8,1,8,1.000000,1.000000,0.000380,0.000383,20.000000,0 1 2 3 4 5 6 7,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.2a462dae36546d47e31d8425ca709dde\visualizations\shape_004_wall.png
5,wall,wall,14,14,1,14,1.000000,1.000000,0.000620,0.000392,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.2a462dae36546d47e31d8425ca709dde\visualizations\shape_005_wall.png
6,wall,wall,4,4,1,4,1.000000,1.000000,0.000000,0.000000,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.2a462dae36546d47e31d8425ca709dde\visualizations\shape_006_wall.png
7,wall,wall,12,12,1,12,1.000000,1.000000,0.000100,0.000115,20.000000,0 1 2 3 4 5 6 7 8 9 10 11,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.2a462dae36546d47e31d8425ca709dde\visualizations\shape_007_wall.png
8,wall,wall,18,18,1,18,1.000000,1.000000,0.000937,0.000444,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.2a462dae36546d47e31d8425ca709dde\visualizations\shape_008_wall.png
9,wall,wall,8,8,1,8,1.000000,1.000000,0.000187,0.000285,20.000000,0 1 2 3 4 5 6 7,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.2a462dae36546d47e31d8425ca709dde\visualizations\shape_009_wall.png
10,wall,wall,6,6,1,6,1.000000,1.000000,0.000321,0.000344,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.2a462dae36546d47e31d8425ca709dde\visualizations\shape_010_wall.png
11,wall,wall,4,4,1,4,1.000000,1.000000,0.000327,0.000348,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.2a462dae36546d47e31d8425ca709dde\visualizations\shape_011_wall.png
12,wall,wall,4,4,1,4,1.000000,1.000000,0.000196,0.000307,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.2a462dae36546d47e31d8425ca709dde\visualizations\shape_012_wall.png
13,wall,wall,4,4,1,4,1.000000,1.000000,0.000128,0.000312,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.2a462dae36546d47e31d8425ca709dde\visualizations\shape_013_wall.png
14,wall,wall,6,6,1,6,1.000000,1.000000,0.000287,0.000248,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.2a462dae36546d47e31d8425ca709dde\visualizations\shape_014_wall.png
15,wall,wall,4,4,1,4,1.000000,1.000000,0.000224,0.000274,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.2a462dae36546d47e31d8425ca709dde\visualizations\shape_015_wall.png
16,wall,wall,4,4,1,4,1.000000,1.000000,0.000000,0.000000,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.2a462dae36546d47e31d8425ca709dde\visualizations\shape_016_wall.png
17,bathroom,bathroom,6,6,1,6,1.000000,1.000000,0.000236,0.000323,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.2a462dae36546d47e31d8425ca709dde\visualizations\shape_017_bathroom.png
18,bathroom,bathroom,6,6,1,6,1.000000,1.000000,0.000242,0.000403,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.2a462dae36546d47e31d8425ca709dde\visualizations\shape_018_bathroom.png
19,entrance,entrance,6,6,1,6,1.000000,1.000000,0.000142,0.000284,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.2a462dae36546d47e31d8425ca709dde\visualizations\shape_019_entrance.png
20,bathroom,bathroom,4,4,1,4,1.000000,1.000000,0.000174,0.000262,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.2a462dae36546d47e31d8425ca709dde\visualizations\shape_020_bathroom.png
21,balcony,balcony,6,6,1,6,1.000000,1.000000,0.000158,0.000248,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.2a462dae36546d47e31d8425ca709dde\visualizations\shape_021_balcony.png
