shape_idx,orig_label,rf_label,n_points_orig,n_points_rf,label_match,recovered_vertices,cap_strict,cap_bidir,align_rmse,mean_nn_dist,distance_threshold,recovered_indices,visualization_path
0,wall,wall,44,41,1,40,0.975000,0.975000,41.017951,2.520889,20.000000,3 4 5 6 7 8 9 10 11 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 0 1 2,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.d2e2af631452f8c281645eb31525f546\visualizations\shape_000_wall.png
1,wall,wall,28,5,1,5,0.200000,0.400000,14.060597,5.168144,20.000000,1 24 10 9 0,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.d2e2af631452f8c281645eb31525f546\visualizations\shape_001_wall.png
2,wall,wall,22,29,1,10,0.200000,0.300000,35.608042,10.889720,20.000000,3 5 10 2 19 18 15 16 20 21,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.d2e2af631452f8c281645eb31525f546\visualizations\shape_002_wall.png
3,wall,wall,36,23,1,14,0.000000,0.142857,29.787314,12.013566,20.000000,21 33 6 35 4 0 19 9 15 12 8 18 17 22,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.d2e2af631452f8c281645eb31525f546\visualizations\shape_003_wall.png
4,wall,wall,8,37,1,1,0.000000,0.000000,85.185928,6.651312,20.000000,5,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.d2e2af631452f8c281645eb31525f546\visualizations\shape_004_wall.png
5,wall,wall,14,10,1,10,0.000000,0.400000,10.036989,7.812939,20.000000,5 4 9 8 7 11 13 1 3 6,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.d2e2af631452f8c281645eb31525f546\visualizations\shape_005_wall.png
6,wall,wall,4,15,1,2,0.000000,0.000000,43.707851,15.159785,20.000000,1 3,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.d2e2af631452f8c281645eb31525f546\visualizations\shape_006_wall.png
7,wall,wall,12,5,1,5,0.000000,0.200000,3.474867,4.304512,20.000000,2 6 10 0 3,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.d2e2af631452f8c281645eb31525f546\visualizations\shape_007_wall.png
8,wall,wall,18,13,1,3,0.000000,0.333333,52.479694,11.626321,20.000000,13 12 10,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.d2e2af631452f8c281645eb31525f546\visualizations\shape_008_wall.png
9,wall,wall,8,19,1,3,0.000000,0.333333,42.213579,14.834550,20.000000,0 5 4,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.d2e2af631452f8c281645eb31525f546\visualizations\shape_009_wall.png
10,wall,wall,6,9,1,4,0.250000,0.500000,19.478458,14.703442,20.000000,0 2 3 1,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.d2e2af631452f8c281645eb31525f546\visualizations\shape_010_wall.png
11,wall,wall,4,7,1,0,0.000000,0.000000,34.149172,nan,20.000000,,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.d2e2af631452f8c281645eb31525f546\visualizations\shape_011_wall.png
12,wall,wall,4,5,1,4,1.000000,1.000000,0.793639,1.061523,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.d2e2af631452f8c281645eb31525f546\visualizations\shape_012_wall.png
13,wall,wall,4,5,1,4,1.000000,1.000000,0.270854,0.334268,20.000000,2 3 0 1,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.d2e2af631452f8c281645eb31525f546\visualizations\shape_013_wall.png
14,wall,wall,6,5,1,3,0.333333,0.333333,10.488847,10.147322,20.000000,3 0 2,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.d2e2af631452f8c281645eb31525f546\visualizations\shape_014_wall.png
15,wall,wall,4,7,1,4,0.250000,0.500000,9.590560,11.153130,20.000000,1 3 0 2,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.d2e2af631452f8c281645eb31525f546\visualizations\shape_015_wall.png
16,wall,wall,4,5,1,2,0.000000,0.000000,15.292740,5.038231,20.000000,0 2,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.d2e2af631452f8c281645eb31525f546\visualizations\shape_016_wall.png
17,bathroom,wall,6,5,0,2,0.000000,0.000000,13.754292,9.188334,20.000000,0 2,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.d2e2af631452f8c281645eb31525f546\visualizations\shape_017_bathroom.png
18,bathroom,bathroom,6,7,1,3,0.666667,0.666667,13.160460,12.027847,20.000000,0 1 5,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.d2e2af631452f8c281645eb31525f546\visualizations\shape_018_bathroom.png
19,entrance,bathroom,6,7,0,6,1.000000,1.000000,6.922445,7.912911,20.000000,2 3 4 5 0 1,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.d2e2af631452f8c281645eb31525f546\visualizations\shape_019_entrance.png
20,bathroom,entrance,4,7,0,1,0.000000,0.000000,24.308717,18.392078,20.000000,2,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.d2e2af631452f8c281645eb31525f546\visualizations\shape_020_bathroom.png
21,balcony,bathroom,6,5,0,1,0.000000,0.000000,18.320954,14.716309,20.000000,0,roboflow\cap_evaluation\TE_D_00025\TE_D_00025_png.rf.d2e2af631452f8c281645eb31525f546\visualizations\shape_021_balcony.png
