shape_idx,orig_label,rf_label,n_points_orig,n_points_rf,label_match,recovered_vertices,cap_strict,cap_bidir,align_rmse,mean_nn_dist,distance_threshold,recovered_indices,visualization_path
0,wall,wall,16,17,1,16,1.000000,1.000000,12.245116,3.471121,20.000000,2 3 4 5 6 7 8 9 10 11 12 13 14 15 0 1,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_000_wall.png
1,wall,wall,12,13,1,12,1.000000,1.000000,8.926082,2.218999,20.000000,2 3 4 5 6 7 8 9 10 11 0 1,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_001_wall.png
2,wall,wall,6,7,1,6,0.000000,1.000000,10.605857,6.090596,20.000000,5 4 3 2 1 0,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_002_wall.png
3,wall,wall,18,19,1,18,1.000000,1.000000,19.298972,6.754471,20.000000,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 0 1,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_003_wall.png
4,wall,wall,20,21,1,20,0.000000,1.000000,7.442751,2.381621,20.000000,19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_004_wall.png
5,wall,wall,56,57,1,56,1.000000,1.000000,16.030884,1.689948,20.000000,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 0 1,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_005_wall.png
6,wall,wall,24,19,1,16,0.125000,0.750000,46.199714,10.851522,20.000000,12 11 10 9 8 7 3 2 1 0 23 22 4 17 18 19,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_006_wall.png
7,wall,wall,4,7,1,2,0.500000,1.000000,21.724935,13.083333,20.000000,2 1,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_007_wall.png
8,wall,wall,12,5,1,5,0.200000,0.200000,4.408874,6.200426,20.000000,4 7 10 0 1,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_008_wall.png
9,wall,wall,8,13,1,5,0.400000,0.400000,25.889627,12.332807,20.000000,1 7 0 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_009_wall.png
10,wall,wall,6,9,1,6,0.166667,0.333333,12.319024,8.005296,20.000000,4 3 5 2 0 1,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_010_wall.png
11,wall,wall,4,7,1,2,0.500000,1.000000,42.298725,7.943480,20.000000,0 1,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_011_wall.png
12,wall,wall,4,5,1,4,1.000000,1.000000,3.273738,3.986381,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_012_wall.png
13,wall,wall,8,5,1,3,0.333333,0.333333,10.526009,11.712503,20.000000,0 4 7,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_013_wall.png
14,wall,wall,16,9,1,2,0.500000,1.000000,51.399596,12.125903,20.000000,1 2,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_014_wall.png
15,wall,wall,4,17,1,1,0.000000,0.000000,15.041336,12.877734,20.000000,2,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_015_wall.png
16,wall,wall,6,5,1,4,0.000000,0.750000,4.554642,3.636089,20.000000,3 0 5 4,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_016_wall.png
17,wall,wall,8,7,1,4,0.250000,0.500000,13.855601,12.934290,20.000000,1 0 4 5,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_017_wall.png
18,wall,wall,4,9,1,2,0.500000,1.000000,28.756578,13.251256,20.000000,3 2,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_018_wall.png
19,wall,wall,4,5,1,4,1.000000,1.000000,1.240354,1.459784,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_019_wall.png
20,wall,wall,6,5,1,5,0.000000,0.800000,5.185680,4.464116,20.000000,3 2 1 0 4,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_020_wall.png
21,wall,wall,8,7,1,3,0.333333,0.333333,16.552959,13.328145,20.000000,7 1 6,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_021_wall.png
22,wall,wall,4,9,1,3,0.666667,0.666667,23.752737,13.250338,20.000000,2 0 1,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_022_wall.png
23,wall,wall,10,5,1,3,0.333333,0.333333,11.217161,8.289869,20.000000,0 4 9,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_023_wall.png
24,wall,wall,4,11,1,2,0.000000,0.000000,17.871754,13.696394,20.000000,0 2,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_024_wall.png
25,wall,wall,6,5,1,4,0.250000,0.500000,8.136191,5.889150,20.000000,3 5 0 4,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_025_wall.png
26,wall,wall,4,7,1,0,0.000000,0.000000,36.611814,nan,20.000000,,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_026_wall.png
27,wall,wall,4,5,1,4,1.000000,1.000000,6.607161,8.490653,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_027_wall.png
28,stairs,wall,4,5,0,4,1.000000,1.000000,2.866911,4.365948,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_028_stairs.png
29,elevator,stairs,4,5,0,0,0.000000,0.000000,31.259749,nan,20.000000,,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_029_elevator.png
30,others,elevator,15,5,0,3,0.000000,0.000000,15.160170,10.839992,20.000000,6 10 14,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_030_others.png
31,bathroom,others,4,16,0,2,0.000000,0.000000,12.767959,12.466258,20.000000,0 2,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_031_bathroom.png
32,bathroom,bathroom,6,5,1,0,0.000000,0.000000,13.814475,nan,20.000000,,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_032_bathroom.png
33,bathroom,bathroom,4,7,1,3,0.000000,0.666667,12.783380,12.122292,20.000000,1 0 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_033_bathroom.png
34,others,bathroom,4,5,0,2,0.000000,0.000000,12.684917,12.263763,20.000000,0 2,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_034_others.png
35,dressing_room,others,4,5,0,4,1.000000,1.000000,3.140608,4.505264,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_035_dressing_room.png
36,dressing_room,dressing_room,4,5,1,2,0.000000,0.000000,20.881043,12.334257,20.000000,0 2,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.34cb7fc9a97fb14bdea598dd975d126b\visualizations\shape_036_dressing_room.png
