shape_idx,orig_label,rf_label,n_points_orig,n_points_rf,label_match,recovered_vertices,cap_strict,cap_bidir,align_rmse,mean_nn_dist,distance_threshold,recovered_indices,visualization_path
0,wall,wall,16,17,1,16,1.000000,1.000000,12.245436,3.471496,20.000000,2 3 4 5 6 7 8 9 10 11 12 13 14 15 0 1,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_000_wall.png
1,wall,wall,12,13,1,12,1.000000,1.000000,8.926063,2.218920,20.000000,2 3 4 5 6 7 8 9 10 11 0 1,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_001_wall.png
2,wall,wall,6,7,1,6,0.000000,1.000000,10.605508,6.089990,20.000000,5 4 3 2 1 0,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_002_wall.png
3,wall,wall,18,19,1,18,1.000000,1.000000,19.299357,6.754469,20.000000,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 0 1,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_003_wall.png
4,wall,wall,20,21,1,20,0.000000,1.000000,7.442588,2.381351,20.000000,19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_004_wall.png
5,wall,wall,56,57,1,56,1.000000,1.000000,16.031335,1.690053,20.000000,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 0 1,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_005_wall.png
6,wall,wall,24,19,1,16,0.062500,0.625000,46.199962,10.851953,20.000000,19 11 10 9 8 7 3 2 1 0 23 22 4 17 18 12,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_006_wall.png
7,wall,wall,4,7,1,2,0.500000,1.000000,21.725152,13.082589,20.000000,2 1,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_007_wall.png
8,wall,wall,12,5,1,5,0.000000,0.000000,4.408728,6.200556,20.000000,1 7 10 0 4,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_008_wall.png
9,wall,wall,8,13,1,5,0.400000,0.400000,25.889577,12.333213,20.000000,1 7 0 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_009_wall.png
10,wall,wall,6,9,1,6,0.166667,0.333333,12.318514,8.005378,20.000000,4 3 5 2 0 1,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_010_wall.png
11,wall,wall,4,7,1,2,0.500000,1.000000,42.299271,7.943554,20.000000,0 1,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_011_wall.png
12,wall,wall,4,5,1,4,1.000000,1.000000,3.273715,3.986311,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_012_wall.png
13,wall,wall,8,5,1,3,0.333333,0.333333,10.525566,11.712707,20.000000,0 4 7,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_013_wall.png
14,wall,wall,16,9,1,2,0.500000,1.000000,51.399862,12.125961,20.000000,1 2,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_014_wall.png
15,wall,wall,4,17,1,1,0.000000,0.000000,15.040971,12.877426,20.000000,2,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_015_wall.png
16,wall,wall,6,5,1,4,0.000000,0.750000,4.554737,3.635970,20.000000,3 0 5 4,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_016_wall.png
17,wall,wall,8,7,1,4,0.250000,0.500000,13.855625,12.934618,20.000000,1 0 4 5,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_017_wall.png
18,wall,wall,4,9,1,2,0.500000,1.000000,28.756365,13.251155,20.000000,3 2,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_018_wall.png
19,wall,wall,4,5,1,4,1.000000,1.000000,1.240303,1.459669,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_019_wall.png
20,wall,wall,6,5,1,5,0.000000,0.800000,5.186216,4.464259,20.000000,3 2 1 0 4,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_020_wall.png
21,wall,wall,8,7,1,3,0.000000,0.333333,16.552768,13.328299,20.000000,6 1 7,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_021_wall.png
22,wall,wall,4,9,1,3,0.666667,0.666667,23.752229,13.249729,20.000000,2 0 1,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_022_wall.png
23,wall,wall,10,5,1,3,0.333333,0.333333,11.217178,8.289801,20.000000,0 4 9,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_023_wall.png
24,wall,wall,4,11,1,2,0.000000,0.000000,17.871209,13.695970,20.000000,0 2,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_024_wall.png
25,wall,wall,6,5,1,4,0.250000,0.500000,8.136052,5.889304,20.000000,3 5 0 4,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_025_wall.png
26,wall,wall,4,7,1,0,0.000000,0.000000,36.611909,nan,20.000000,,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_026_wall.png
27,wall,wall,4,5,1,4,1.000000,1.000000,6.607312,8.490576,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_027_wall.png
28,stairs,wall,4,5,0,4,1.000000,1.000000,2.866675,4.365695,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_028_stairs.png
29,elevator,stairs,4,5,0,0,0.000000,0.000000,31.260179,nan,20.000000,,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_029_elevator.png
30,others,elevator,15,5,0,3,0.000000,0.000000,15.160124,10.840022,20.000000,6 10 14,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_030_others.png
31,bathroom,others,4,16,0,2,0.000000,0.000000,12.767939,12.466266,20.000000,0 2,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_031_bathroom.png
32,bathroom,bathroom,6,5,1,0,0.000000,0.000000,13.814492,nan,20.000000,,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_032_bathroom.png
33,bathroom,bathroom,4,7,1,3,0.000000,0.666667,12.783429,12.122560,20.000000,1 0 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.52f0d54ef8e65aa982696f01f479af21\visualizations\shape_033_bathroom.png
