shape_idx,orig_label,rf_label,n_points_orig,n_points_rf,label_match,recovered_vertices,cap_strict,cap_bidir,align_rmse,mean_nn_dist,distance_threshold,recovered_indices,visualization_path
0,wall,wall,16,16,1,16,1.000000,1.000000,0.000505,0.000370,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_000_wall.png
1,wall,wall,12,12,1,12,1.000000,1.000000,0.000209,0.000254,20.000000,0 1 2 3 4 5 6 7 8 9 10 11,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_001_wall.png
2,wall,wall,6,6,1,6,1.000000,1.000000,0.000369,0.000519,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_002_wall.png
3,wall,wall,18,18,1,18,1.000000,1.000000,0.000827,0.000473,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_003_wall.png
4,wall,wall,20,20,1,20,1.000000,1.000000,0.000720,0.000437,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_004_wall.png
5,wall,wall,56,56,1,56,1.000000,1.000000,0.001252,0.000356,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_005_wall.png
6,wall,wall,24,24,1,24,1.000000,1.000000,0.000802,0.000390,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_006_wall.png
7,wall,wall,4,4,1,4,1.000000,1.000000,0.000262,0.000256,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_007_wall.png
8,wall,wall,12,12,1,12,1.000000,1.000000,0.000861,0.000407,20.000000,0 1 2 3 4 5 6 7 8 9 10 11,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_008_wall.png
9,wall,wall,8,8,1,8,1.000000,1.000000,0.000000,0.000000,20.000000,0 1 2 3 4 5 6 7,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_009_wall.png
10,wall,wall,6,6,1,6,1.000000,1.000000,0.000225,0.000341,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_010_wall.png
11,wall,wall,4,4,1,4,1.000000,1.000000,0.000066,0.000077,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_011_wall.png
12,wall,wall,4,4,1,4,1.000000,1.000000,0.000165,0.000270,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_012_wall.png
13,wall,wall,8,8,1,8,1.000000,1.000000,0.000398,0.000294,20.000000,0 1 2 3 4 5 6 7,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_013_wall.png
14,wall,wall,16,16,1,16,1.000000,1.000000,0.000980,0.000369,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_014_wall.png
15,wall,wall,4,4,1,4,1.000000,1.000000,0.000473,0.000455,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_015_wall.png
16,wall,wall,6,6,1,6,1.000000,1.000000,0.000405,0.000419,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_016_wall.png
17,wall,wall,8,8,1,8,1.000000,1.000000,0.000783,0.000547,20.000000,0 1 2 3 4 5 6 7,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_017_wall.png
18,wall,wall,4,4,1,4,1.000000,1.000000,0.000176,0.000325,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_018_wall.png
19,wall,wall,4,4,1,4,1.000000,1.000000,0.000149,0.000234,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_019_wall.png
20,wall,wall,6,6,1,6,1.000000,1.000000,0.000254,0.000414,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_020_wall.png
21,wall,wall,8,8,1,8,1.000000,1.000000,0.000190,0.000270,20.000000,0 1 2 3 4 5 6 7,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_021_wall.png
22,wall,wall,4,4,1,4,1.000000,1.000000,0.000115,0.000315,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_022_wall.png
23,wall,wall,10,10,1,10,1.000000,1.000000,0.000763,0.000367,20.000000,0 1 2 3 4 5 6 7 8 9,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_023_wall.png
24,wall,wall,4,4,1,4,1.000000,1.000000,0.000101,0.000144,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_024_wall.png
25,wall,wall,6,6,1,6,1.000000,1.000000,0.000146,0.000242,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_025_wall.png
26,wall,wall,4,4,1,4,1.000000,1.000000,0.000259,0.000277,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_026_wall.png
27,wall,wall,4,4,1,4,1.000000,1.000000,0.000131,0.000194,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_027_wall.png
28,stairs,stairs,4,4,1,4,1.000000,1.000000,0.000182,0.000407,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_028_stairs.png
29,elevator,elevator,4,4,1,4,1.000000,1.000000,0.000185,0.000306,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_029_elevator.png
30,others,others,15,15,1,15,1.000000,1.000000,0.000389,0.000365,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_030_others.png
31,bathroom,bathroom,4,4,1,4,1.000000,1.000000,0.000347,0.000328,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_031_bathroom.png
32,bathroom,bathroom,6,6,1,6,1.000000,1.000000,0.000350,0.000453,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_032_bathroom.png
33,bathroom,bathroom,4,4,1,4,1.000000,1.000000,0.000300,0.000292,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_033_bathroom.png
34,others,others,4,4,1,4,1.000000,1.000000,0.000312,0.000637,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_034_others.png
35,dressing_room,dressing_room,4,4,1,4,1.000000,1.000000,0.000261,0.000358,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_035_dressing_room.png
36,dressing_room,dressing_room,4,4,1,4,1.000000,1.000000,0.000069,0.000115,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_036_dressing_room.png
37,others,others,4,4,1,4,1.000000,1.000000,0.000032,0.000072,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_037_others.png
38,bed_room,bed_room,4,4,1,4,1.000000,1.000000,0.000228,0.000302,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_038_bed_room.png
39,bed_room,bed_room,4,4,1,4,1.000000,1.000000,0.000141,0.000185,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_039_bed_room.png
40,entrance,entrance,4,4,1,4,1.000000,1.000000,0.000223,0.000363,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_040_entrance.png
41,bed_room,bed_room,4,4,1,4,1.000000,1.000000,0.000354,0.000384,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_041_bed_room.png
42,bed_room,bed_room,4,4,1,4,1.000000,1.000000,0.000074,0.000121,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_042_bed_room.png
43,bed_room,bed_room,4,4,1,4,1.000000,1.000000,0.000292,0.000334,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_043_bed_room.png
44,entrance,entrance,10,10,1,10,1.000000,1.000000,0.000262,0.000314,20.000000,0 1 2 3 4 5 6 7 8 9,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_044_entrance.png
45,living_kitchen,living_kitchen,10,10,1,10,1.000000,1.000000,0.000445,0.000438,20.000000,0 1 2 3 4 5 6 7 8 9,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_045_living_kitchen.png
46,others,others,6,6,1,6,1.000000,1.000000,0.000318,0.000482,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00030\TE_D_00030_png.rf.63f3e58b4babd2662edf9003a63bdd10\visualizations\shape_046_others.png
