shape_idx,orig_label,rf_label,n_points_orig,n_points_rf,label_match,recovered_vertices,cap_strict,cap_bidir,align_rmse,mean_nn_dist,distance_threshold,recovered_indices,visualization_path
0,wall,wall,32,33,1,32,1.000000,1.000000,14.021876,2.786487,20.000000,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 0 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_000_wall.png
1,wall,wall,8,9,1,8,0.000000,1.000000,3.924054,2.291442,20.000000,7 6 5 4 3 2 1 0,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_001_wall.png
2,wall,wall,24,25,1,24,1.000000,1.000000,21.155866,3.134923,20.000000,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 0 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_002_wall.png
3,wall,wall,4,5,1,4,0.000000,1.000000,6.788236,12.594549,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_003_wall.png
4,wall,wall,42,43,1,42,0.000000,1.000000,12.832132,2.471695,20.000000,41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_004_wall.png
5,wall,wall,4,5,1,4,0.250000,0.500000,2.588950,5.937924,20.000000,0 2 3 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_005_wall.png
6,wall,wall,4,5,1,4,0.000000,1.000000,2.450785,5.954660,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_006_wall.png
7,wall,wall,4,5,1,4,0.250000,0.500000,4.945459,6.998129,20.000000,0 2 1 3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_007_wall.png
8,wall,wall,12,9,1,8,0.750000,0.750000,22.122415,8.973302,20.000000,4 5 7 11 0 1 2 3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_008_wall.png
9,wall,wall,6,6,1,5,0.400000,0.600000,9.225441,8.757595,20.000000,0 2 3 4 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_009_wall.png
10,wall,wall,4,7,1,0,0.000000,0.000000,27.983269,nan,20.000000,,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_010_wall.png
11,wall,wall,4,5,1,2,0.000000,0.000000,10.491665,6.931159,20.000000,0 2,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_011_wall.png
12,wall,wall,4,5,1,4,0.000000,1.000000,2.382469,5.909104,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_012_wall.png
13,wall,wall,10,5,1,5,0.200000,0.600000,4.324861,3.400797,20.000000,5 2 1 0 4,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_013_wall.png
14,wall,wall,4,11,1,1,0.000000,0.000000,44.384705,14.625196,20.000000,3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_014_wall.png
15,wall,wall,10,5,1,5,0.400000,0.600000,10.516432,9.901454,20.000000,4 0 1 2 5,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_015_wall.png
16,wall,wall,4,11,1,0,0.000000,0.000000,34.107187,nan,20.000000,,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_016_wall.png
17,wall,wall,4,5,1,4,0.000000,1.000000,4.306653,3.089927,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_017_wall.png
18,wall,wall,10,5,1,0,0.000000,0.000000,23.356641,nan,20.000000,,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_018_wall.png
19,wall,wall,8,11,1,8,0.250000,0.625000,11.299940,12.205110,20.000000,6 5 3 4 1 2 0 7,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_019_wall.png
20,wall,wall,38,9,1,9,0.222222,0.222222,10.005509,6.519297,20.000000,25 33 12 18 19 3 1 26 27,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_020_wall.png
21,wall,wall,8,35,1,1,0.000000,0.000000,43.184512,9.077975,20.000000,2,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_021_wall.png
22,wall,wall,16,9,1,8,0.000000,0.500000,10.416993,9.350145,20.000000,15 14 6 11 9 2 1 0,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_022_wall.png
23,wall,wall,12,15,1,1,0.000000,0.000000,51.417258,10.189340,20.000000,4,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_023_wall.png
24,wall,wall,8,13,1,4,0.250000,0.500000,21.377995,13.371270,20.000000,3 7 6 2,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_024_wall.png
25,wall,wall,4,9,1,4,0.000000,1.000000,5.233241,5.545358,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_025_wall.png
26,wall,wall,4,5,1,4,0.000000,1.000000,3.014011,1.925290,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_026_wall.png
27,wall,wall,12,5,1,1,0.000000,0.000000,23.313834,13.313857,20.000000,0,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_027_wall.png
28,stairs,wall,4,13,0,3,0.666667,0.666667,14.082015,9.788596,20.000000,3 0 2,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_028_stairs.png
29,elevator,stairs,4,5,0,4,1.000000,1.000000,8.647758,12.273387,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_029_elevator.png
30,others,elevator,10,5,0,1,0.000000,0.000000,40.979961,18.821936,20.000000,9,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_030_others.png
31,bathroom,others,4,11,0,1,0.000000,0.000000,43.663265,10.133967,20.000000,0,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_031_bathroom.png
32,bathroom,bathroom,4,5,1,4,0.000000,1.000000,0.403515,0.618253,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_032_bathroom.png
33,entrance,bathroom,6,5,0,4,0.750000,0.750000,5.736011,12.940885,20.000000,3 4 5 2,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_033_entrance.png
34,entrance,entrance,6,7,1,4,0.750000,0.750000,6.761854,8.414274,20.000000,2 3 0 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_034_entrance.png
35,bathroom,entrance,4,7,0,4,0.000000,1.000000,2.816528,7.106601,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_035_bathroom.png
36,others,bathroom,6,5,0,4,0.000000,0.750000,4.100594,3.578930,20.000000,1 0 5 4,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_036_others.png
37,dressing_room,others,4,7,0,4,0.000000,1.000000,3.639334,7.809277,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_037_dressing_room.png
38,others,dressing_room,4,5,0,2,0.000000,0.000000,10.047855,7.785701,20.000000,2 0,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_038_others.png
39,bed_room,others,4,6,0,2,0.000000,0.000000,5.880783,8.232861,20.000000,0 2,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_039_bed_room.png
40,bed_room,bed_room,8,5,1,3,0.000000,0.333333,9.882849,7.494668,20.000000,1 0 5,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_040_bed_room.png
41,bed_room,bed_room,6,9,1,2,0.000000,0.000000,11.511165,9.905789,20.000000,4 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_041_bed_room.png
42,bed_room,bed_room,6,7,1,4,0.250000,0.500000,13.946926,13.449506,20.000000,4 5 2 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_042_bed_room.png
43,bed_room,bed_room,4,7,1,0,0.000000,0.000000,19.401724,nan,20.000000,,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_043_bed_room.png
44,balcony,bed_room,4,5,0,2,0.000000,0.000000,19.408913,17.285321,20.000000,0 2,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_044_balcony.png
45,balcony,balcony,8,5,1,4,0.500000,0.500000,2.873379,6.319365,20.000000,0 1 4 7,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_045_balcony.png
46,living_kitchen,balcony,14,9,0,3,0.000000,0.333333,20.346105,10.400731,20.000000,8 1 0,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_046_living_kitchen.png
47,others,living_kitchen,4,15,0,0,0.000000,0.000000,79.035567,nan,20.000000,,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_047_others.png
48,others,others,4,5,1,4,0.000000,1.000000,2.063350,2.845818,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_048_others.png
49,others,others,4,5,1,2,0.000000,0.000000,10.238510,6.829689,20.000000,0 2,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_049_others.png
50,others,others,4,5,1,4,1.000000,1.000000,1.196855,1.483611,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_050_others.png
51,others,others,4,5,1,2,0.000000,0.000000,12.494752,7.414312,20.000000,0 2,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_051_others.png
52,others,others,4,5,1,2,0.000000,0.000000,11.810210,5.009241,20.000000,0 2,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_052_others.png
53,bed_room,others,6,5,0,2,0.000000,0.000000,14.801221,11.470770,20.000000,0 2,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_053_bed_room.png
54,others,bed_room,4,7,0,1,0.000000,0.000000,29.626573,9.380393,20.000000,0,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_054_others.png
55,others,others,6,5,1,4,0.750000,0.750000,8.889766,6.813350,20.000000,4 1 2 3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_055_others.png
56,others,others,6,7,1,4,0.500000,0.500000,13.926361,10.044302,20.000000,0 1 2 4,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_056_others.png
57,others,others,4,7,1,1,0.000000,0.000000,29.892508,10.149516,20.000000,1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_057_others.png
58,background,others,30,5,0,5,0.200000,0.200000,15.276338,14.156320,20.000000,1 24 15 26 0,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.10d1b35c35ff452b749bfce6d9dfeec8\visualizations\shape_058_background.png
