shape_idx,orig_label,rf_label,n_points_orig,n_points_rf,label_match,recovered_vertices,cap_strict,cap_bidir,align_rmse,mean_nn_dist,distance_threshold,recovered_indices,visualization_path
0,wall,wall,32,32,1,32,1.000000,1.000000,0.000281,0.000133,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_000_wall.png
1,wall,wall,8,8,1,8,1.000000,1.000000,0.000000,0.000000,20.000000,0 1 2 3 4 5 6 7,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_001_wall.png
2,wall,wall,24,24,1,24,1.000000,1.000000,0.000000,0.000000,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_002_wall.png
3,wall,wall,4,4,1,4,1.000000,1.000000,0.000000,0.000000,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_003_wall.png
4,wall,wall,42,42,1,42,1.000000,1.000000,0.000777,0.000312,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_004_wall.png
5,wall,wall,4,4,1,4,1.000000,1.000000,0.000000,0.000000,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_005_wall.png
6,wall,wall,4,4,1,4,1.000000,1.000000,0.000000,0.000000,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_006_wall.png
7,wall,wall,4,4,1,4,1.000000,1.000000,0.000000,0.000000,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_007_wall.png
8,wall,wall,12,12,1,12,1.000000,1.000000,0.000283,0.000114,20.000000,0 1 2 3 4 5 6 7 8 9 10 11,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_008_wall.png
9,wall,wall,6,6,1,6,1.000000,1.000000,0.000515,0.000342,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_009_wall.png
10,wall,wall,4,4,1,4,1.000000,1.000000,0.000117,0.000201,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_010_wall.png
11,wall,wall,4,4,1,4,1.000000,1.000000,0.000243,0.000313,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_011_wall.png
12,wall,wall,4,4,1,4,1.000000,1.000000,0.000189,0.000395,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_012_wall.png
13,wall,wall,10,10,1,10,1.000000,1.000000,0.000799,0.000497,20.000000,0 1 2 3 4 5 6 7 8 9,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_013_wall.png
14,wall,wall,4,4,1,4,1.000000,1.000000,0.000000,0.000000,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.301a23b22d94e0817785bd2577615b75\visualizations\shape_014_wall.png
