shape_idx,orig_label,rf_label,n_points_orig,n_points_rf,label_match,recovered_vertices,cap_strict,cap_bidir,align_rmse,mean_nn_dist,distance_threshold,recovered_indices,visualization_path
0,wall,wall,32,33,1,32,1.000000,1.000000,14.021081,2.786265,20.000000,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 0 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_000_wall.png
1,wall,wall,8,9,1,8,0.000000,1.000000,3.923356,2.290731,20.000000,7 6 5 4 3 2 1 0,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_001_wall.png
2,wall,wall,24,25,1,24,1.000000,1.000000,21.156215,3.135110,20.000000,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 0 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_002_wall.png
3,wall,wall,4,5,1,4,0.000000,1.000000,6.788358,12.594779,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_003_wall.png
4,wall,wall,42,43,1,42,0.000000,1.000000,12.831263,2.471448,20.000000,41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_004_wall.png
5,wall,wall,4,5,1,4,0.250000,0.500000,2.589146,5.938082,20.000000,0 2 3 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_005_wall.png
6,wall,wall,4,5,1,4,0.000000,1.000000,2.450700,5.954743,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_006_wall.png
7,wall,wall,4,5,1,4,0.250000,0.500000,4.945843,6.998504,20.000000,0 2 1 3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_007_wall.png
8,wall,wall,12,9,1,8,0.375000,0.500000,22.122311,8.973251,20.000000,3 5 7 11 0 1 2 4,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_008_wall.png
9,wall,wall,6,6,1,5,0.800000,0.800000,9.225454,8.757399,20.000000,1 2 3 4 0,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_009_wall.png
10,wall,wall,4,7,1,0,0.000000,0.000000,27.983005,nan,20.000000,,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_010_wall.png
11,wall,wall,4,5,1,2,0.000000,0.000000,10.491623,6.931253,20.000000,0 2,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_011_wall.png
12,wall,wall,4,5,1,4,0.000000,1.000000,2.382297,5.909098,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_012_wall.png
13,wall,wall,10,5,1,5,0.200000,0.600000,4.325006,3.400858,20.000000,5 2 1 0 4,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_013_wall.png
14,wall,wall,4,11,1,1,0.000000,0.000000,44.384957,14.625358,20.000000,3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_014_wall.png
15,wall,wall,10,5,1,5,0.600000,0.600000,10.516600,9.901435,20.000000,5 0 1 2 4,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_015_wall.png
16,wall,wall,4,11,1,0,0.000000,0.000000,34.106948,nan,20.000000,,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_016_wall.png
17,wall,wall,4,5,1,4,0.000000,1.000000,4.306637,3.089465,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_017_wall.png
18,wall,wall,10,5,1,0,0.000000,0.000000,23.356786,nan,20.000000,,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_018_wall.png
19,wall,wall,8,11,1,8,0.250000,0.625000,11.299830,12.205104,20.000000,6 5 3 4 1 2 0 7,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_019_wall.png
20,wall,wall,38,9,1,9,0.111111,0.222222,10.005582,6.519438,20.000000,27 33 12 18 19 3 1 26 25,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_020_wall.png
21,wall,wall,8,35,1,1,0.000000,0.000000,43.184853,9.078055,20.000000,2,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_021_wall.png
22,wall,wall,16,9,1,8,0.000000,0.500000,10.416918,9.350113,20.000000,15 14 6 11 9 2 1 0,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_022_wall.png
23,wall,wall,12,17,1,1,0.000000,0.000000,51.856948,3.303534,20.000000,4,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_023_wall.png
24,wall,wall,8,13,1,4,0.250000,0.500000,21.377577,13.371037,20.000000,3 7 6 2,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_024_wall.png
25,wall,wall,4,9,1,4,0.000000,1.000000,5.233519,5.545805,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_025_wall.png
26,wall,wall,4,5,1,4,0.000000,1.000000,3.014546,1.925446,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_026_wall.png
27,wall,wall,12,5,1,1,0.000000,0.000000,23.313803,13.314469,20.000000,0,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_027_wall.png
28,stairs,wall,4,13,0,3,0.666667,0.666667,14.082038,9.789682,20.000000,3 0 2,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_028_stairs.png
29,elevator,stairs,4,5,0,4,1.000000,1.000000,8.647207,12.272802,20.000000,2 3 0 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_029_elevator.png
30,others,elevator,10,5,0,1,0.000000,0.000000,40.980007,18.822018,20.000000,9,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_030_others.png
31,bathroom,others,4,11,0,1,0.000000,0.000000,43.662506,10.133996,20.000000,0,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_031_bathroom.png
32,bathroom,bathroom,4,5,1,4,0.000000,1.000000,0.403445,0.618077,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_032_bathroom.png
33,entrance,bathroom,6,5,0,4,0.750000,0.750000,5.735959,12.940798,20.000000,3 4 5 2,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_033_entrance.png
34,entrance,entrance,6,7,1,4,0.750000,0.750000,6.762083,8.414772,20.000000,2 3 0 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_034_entrance.png
35,bathroom,entrance,4,7,0,4,0.000000,1.000000,2.816403,7.106373,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_035_bathroom.png
36,others,bathroom,6,5,0,4,0.000000,0.750000,4.100587,3.578888,20.000000,1 0 5 4,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_036_others.png
37,dressing_room,others,4,7,0,4,0.000000,1.000000,3.639192,7.808955,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_037_dressing_room.png
38,others,dressing_room,4,5,0,2,0.000000,0.000000,10.047607,7.785075,20.000000,2 0,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_038_others.png
39,bed_room,others,4,5,0,4,0.000000,1.000000,1.470493,2.259992,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_039_bed_room.png
40,bed_room,bed_room,8,5,1,3,0.000000,0.333333,9.882619,7.494388,20.000000,1 0 5,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_040_bed_room.png
41,bed_room,bed_room,6,9,1,2,0.000000,0.000000,11.511073,9.905639,20.000000,4 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_041_bed_room.png
42,bed_room,bed_room,6,7,1,4,0.250000,0.500000,13.946913,13.449957,20.000000,4 5 2 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_042_bed_room.png
43,bed_room,bed_room,4,7,1,0,0.000000,0.000000,19.401950,nan,20.000000,,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_043_bed_room.png
44,balcony,bed_room,4,5,0,2,0.000000,0.000000,19.409079,17.285524,20.000000,0 2,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_044_balcony.png
45,balcony,balcony,8,5,1,4,0.500000,0.500000,2.873510,6.319833,20.000000,0 1 4 7,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_045_balcony.png
46,living_kitchen,balcony,14,9,0,3,0.000000,0.333333,20.346112,10.400817,20.000000,8 1 0,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_046_living_kitchen.png
47,others,living_kitchen,4,15,0,0,0.000000,0.000000,79.036608,nan,20.000000,,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_047_others.png
48,others,others,4,5,1,4,0.000000,1.000000,2.063141,2.845164,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_048_others.png
49,others,others,4,5,1,2,0.000000,0.000000,10.238482,6.829716,20.000000,0 2,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_049_others.png
50,others,others,4,5,1,4,1.000000,1.000000,1.196601,1.483609,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_050_others.png
51,others,others,4,5,1,2,0.000000,0.000000,12.494729,7.409108,20.000000,0 2,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_051_others.png
52,others,others,4,5,1,2,0.000000,0.000000,11.809781,5.008998,20.000000,0 2,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_052_others.png
53,bed_room,others,6,5,0,2,0.000000,0.000000,14.801268,11.470802,20.000000,0 2,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_053_bed_room.png
54,others,bed_room,4,7,0,1,0.000000,0.000000,29.626328,9.379656,20.000000,0,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_054_others.png
55,others,others,6,5,1,4,0.750000,0.750000,8.889453,6.813031,20.000000,4 1 2 3,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_055_others.png
56,others,others,6,7,1,4,0.500000,0.500000,13.926147,10.044331,20.000000,0 1 2 4,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_056_others.png
57,others,others,4,7,1,1,0.000000,0.000000,29.892646,10.149421,20.000000,1,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_057_others.png
58,background,others,30,5,0,5,0.200000,0.200000,15.276488,14.156446,20.000000,1 24 15 26 0,roboflow\cap_evaluation\TE_D_00039\TE_D_00039_png.rf.7c98fca6594e643e0995e1e72c48f23d\visualizations\shape_058_background.png
