shape_idx,orig_label,rf_label,n_points_orig,n_points_rf,label_match,recovered_vertices,cap_strict,cap_bidir,align_rmse,mean_nn_dist,distance_threshold,recovered_indices,visualization_path
0,wall,wall,10,10,1,10,1.000000,1.000000,0.000421,0.000435,20.000000,0 1 2 3 4 5 6 7 8 9,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_000_wall.png
1,wall,wall,4,4,1,4,1.000000,1.000000,0.000202,0.000248,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_001_wall.png
2,wall,wall,20,20,1,20,1.000000,1.000000,0.001461,0.000692,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_002_wall.png
3,wall,wall,6,6,1,6,1.000000,1.000000,0.000181,0.000265,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_003_wall.png
4,wall,wall,4,4,1,4,1.000000,1.000000,0.000067,0.000154,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_004_wall.png
5,wall,wall,8,8,1,8,1.000000,1.000000,0.000322,0.000310,20.000000,0 1 2 3 4 5 6 7,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_005_wall.png
6,wall,wall,6,6,1,6,1.000000,1.000000,0.000394,0.000280,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_006_wall.png
7,wall,wall,6,6,1,6,1.000000,1.000000,0.000137,0.000182,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_007_wall.png
8,wall,wall,4,4,1,4,1.000000,1.000000,0.000470,0.000512,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_008_wall.png
9,wall,wall,4,4,1,4,1.000000,1.000000,0.000268,0.000456,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_009_wall.png
10,wall,wall,4,4,1,4,1.000000,1.000000,0.000351,0.000486,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_010_wall.png
11,wall,wall,6,6,1,6,1.000000,1.000000,0.000301,0.000427,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_011_wall.png
12,wall,wall,10,10,1,10,1.000000,1.000000,0.000488,0.000395,20.000000,0 1 2 3 4 5 6 7 8 9,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_012_wall.png
13,wall,wall,8,8,1,8,1.000000,1.000000,0.000556,0.000502,20.000000,0 1 2 3 4 5 6 7,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_013_wall.png
14,wall,wall,32,32,1,32,1.000000,1.000000,0.000571,0.000444,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_014_wall.png
15,wall,wall,14,14,1,14,1.000000,1.000000,0.000514,0.000402,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_015_wall.png
16,wall,wall,22,22,1,22,1.000000,1.000000,0.000573,0.000356,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_016_wall.png
17,wall,wall,6,6,1,6,1.000000,1.000000,0.000422,0.000435,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_017_wall.png
18,wall,wall,6,6,1,6,1.000000,1.000000,0.000541,0.000428,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_018_wall.png
19,others,others,4,4,1,4,1.000000,1.000000,0.000330,0.000409,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_019_others.png
20,balcony,balcony,4,4,1,4,1.000000,1.000000,0.000129,0.000219,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_020_balcony.png
21,bed_room,bed_room,4,4,1,4,1.000000,1.000000,0.000307,0.000321,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_021_bed_room.png
22,bed_room,bed_room,4,4,1,4,1.000000,1.000000,0.000337,0.000447,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_022_bed_room.png
23,bed_room,bed_room,4,4,1,4,1.000000,1.000000,0.000157,0.000314,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_023_bed_room.png
24,bathroom,bathroom,6,6,1,6,1.000000,1.000000,0.000178,0.000275,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_024_bathroom.png
25,bathroom,bathroom,4,4,1,4,1.000000,1.000000,0.000085,0.000218,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_025_bathroom.png
26,bathroom,bathroom,4,4,1,4,1.000000,1.000000,0.000132,0.000172,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_026_bathroom.png
27,dressing_room,dressing_room,4,4,1,4,1.000000,1.000000,0.000193,0.000434,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_027_dressing_room.png
28,entrance,entrance,6,6,1,6,1.000000,1.000000,0.000273,0.000350,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_028_entrance.png
29,living_kitchen,living_kitchen,12,12,1,12,1.000000,1.000000,0.000496,0.000410,20.000000,0 1 2 3 4 5 6 7 8 9 10 11,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_029_living_kitchen.png
30,others,others,4,4,1,4,1.000000,1.000000,0.000344,0.000466,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_030_others.png
31,elevator,elevator,4,4,1,4,1.000000,1.000000,0.000222,0.000309,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_031_elevator.png
32,others,others,12,12,1,12,1.000000,1.000000,0.000334,0.000374,20.000000,0 1 2 3 4 5 6 7 8 9 10 11,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_032_others.png
33,stairs,stairs,4,4,1,4,1.000000,1.000000,0.000124,0.000272,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_033_stairs.png
34,bed_room,bed_room,4,4,1,4,1.000000,1.000000,0.000253,0.000284,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_034_bed_room.png
35,others,others,6,6,1,6,1.000000,1.000000,0.000482,0.000438,20.000000,0 1 2 3 4 5,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_035_others.png
36,others,others,4,4,1,4,1.000000,1.000000,0.000139,0.000310,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_036_others.png
37,others,others,4,4,1,4,1.000000,1.000000,0.000254,0.000524,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_037_others.png
38,background,background,24,24,1,24,1.000000,1.000000,0.000617,0.000355,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.73b9eda52b55d17ab8926969b94d209f\visualizations\shape_038_background.png
