shape_idx,orig_label,rf_label,n_points_orig,n_points_rf,label_match,recovered_vertices,cap_strict,cap_bidir,align_rmse,mean_nn_dist,distance_threshold,recovered_indices,visualization_path
0,wall,wall,10,11,1,10,1.000000,1.000000,10.395395,2.704629,20.000000,2 3 4 5 6 7 8 9 0 1,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.7c9d142a22708e3dc64d57ed90e59e77\visualizations\shape_000_wall.png
1,wall,wall,4,5,1,4,1.000000,1.000000,0.059684,0.065048,20.000000,2 3 0 1,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.7c9d142a22708e3dc64d57ed90e59e77\visualizations\shape_001_wall.png
2,wall,wall,20,21,1,20,0.000000,1.000000,10.569252,2.121910,20.000000,19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.7c9d142a22708e3dc64d57ed90e59e77\visualizations\shape_002_wall.png
3,wall,wall,6,7,1,6,0.166667,0.666667,11.235060,8.017195,20.000000,0 4 3 2 1 5,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.7c9d142a22708e3dc64d57ed90e59e77\visualizations\shape_003_wall.png
4,wall,wall,4,5,1,4,0.000000,1.000000,6.643306,13.849054,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.7c9d142a22708e3dc64d57ed90e59e77\visualizations\shape_004_wall.png
5,wall,wall,8,9,1,8,1.000000,1.000000,6.033299,1.591574,20.000000,2 3 4 5 6 7 0 1,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.7c9d142a22708e3dc64d57ed90e59e77\visualizations\shape_005_wall.png
6,wall,wall,6,7,1,6,1.000000,1.000000,14.066436,7.264186,20.000000,2 3 4 5 0 1,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.7c9d142a22708e3dc64d57ed90e59e77\visualizations\shape_006_wall.png
7,wall,wall,6,7,1,6,0.166667,0.666667,8.849377,5.621932,20.000000,0 4 3 2 1 5,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.7c9d142a22708e3dc64d57ed90e59e77\visualizations\shape_007_wall.png
8,wall,wall,4,5,1,4,0.000000,1.000000,8.787963,13.719604,20.000000,1 0 3 2,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.7c9d142a22708e3dc64d57ed90e59e77\visualizations\shape_008_wall.png
9,wall,wall,4,5,1,4,0.250000,0.500000,8.273523,12.997906,20.000000,0 2 1 3,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.7c9d142a22708e3dc64d57ed90e59e77\visualizations\shape_009_wall.png
10,wall,wall,4,5,1,4,1.000000,1.000000,0.586185,0.590623,20.000000,2 3 0 1,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.7c9d142a22708e3dc64d57ed90e59e77\visualizations\shape_010_wall.png
11,wall,wall,6,7,1,6,1.000000,1.000000,0.004922,0.004025,20.000000,2 3 4 5 0 1,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.7c9d142a22708e3dc64d57ed90e59e77\visualizations\shape_011_wall.png
12,wall,wall,10,11,1,10,0.000000,1.000000,12.227914,4.506587,20.000000,9 8 7 6 5 4 3 2 1 0,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.7c9d142a22708e3dc64d57ed90e59e77\visualizations\shape_012_wall.png
13,wall,wall,8,9,1,8,1.000000,1.000000,4.712757,4.504800,20.000000,2 3 4 5 6 7 0 1,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.7c9d142a22708e3dc64d57ed90e59e77\visualizations\shape_013_wall.png
