================ SHAPE SUMMARY ================
Original:  TE_D_00040.json | polygon shapes = 39
Roboflow:  TE_D_00040_png.rf.7c9d142a22708e3dc64d57ed90e59e77.json | polygon shapes = 39
------------------------------------------------
idx | label | n_points_orig | n_points_roboflow
------------------------------------------------
  0 | wall / wall |           10 |               11
  1 | wall / wall |            4 |                5
  2 | wall / wall |           20 |               21
  3 | wall / wall |            6 |                7
  4 | wall / wall |            4 |                5
  5 | wall / wall |            8 |                9
  6 | wall / wall |            6 |                7
  7 | wall / wall |            6 |                7
  8 | wall / wall |            4 |                5
  9 | wall / wall |            4 |                5
 10 | wall / wall |            4 |                5
 11 | wall / wall |            6 |                7
 12 | wall / wall |           10 |               11
 13 | wall / wall |            8 |                9
 14 | wall / wall |           32 |               33
 15 | wall / wall |           14 |               15
 16 | wall / wall |           22 |               23
 17 | wall / wall |            6 |                7
 18 | wall / wall |            6 |                7
 19 | others / others |            4 |                5
 20 | balcony / balcony |            4 |                5
 21 | bed_room / bed_room |            4 |                5
 22 | bed_room / bed_room |            4 |                5
 23 | bed_room / bed_room |            4 |                5
 24 | bathroom / bathroom |            6 |                7
 25 | bathroom / bathroom |            4 |                5
 26 | bathroom / bathroom |            4 |                5
 27 | dressing_room / dressing_room |            4 |                5
 28 | entrance / entrance |            6 |                7
 29 | living_kitchen / living_kitchen |           12 |               13
 30 | others / others |            4 |                5
 31 | elevator / elevator |            4 |                5
 32 | others / others |           12 |               13
 33 | stairs / stairs |            4 |                5
 34 | bed_room / bed_room |            4 |                5
 35 | others / others |            6 |                7
 36 | others / others |            4 |                5
 37 | others / others |            4 |                5
 38 | background / background |           24 |               26
================================================
