shape_idx,orig_label,rf_label,n_points_orig,n_points_rf,label_match,recovered_vertices,cap_strict,cap_bidir,align_rmse,mean_nn_dist,distance_threshold,recovered_indices,visualization_path
0,wall,wall,10,11,1,10,1.000000,1.000000,2.296020,3.107667,20.000000,0 1 2 3 4 5 6 7 8 9,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.8e534dc8582f6b4750a6af317d60282d\visualizations\shape_000_wall.png
1,wall,wall,4,5,1,4,1.000000,1.000000,0.059366,0.064523,20.000000,2 3 0 1,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.8e534dc8582f6b4750a6af317d60282d\visualizations\shape_001_wall.png
2,wall,wall,20,21,1,20,0.000000,1.000000,10.569038,2.121980,20.000000,19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.8e534dc8582f6b4750a6af317d60282d\visualizations\shape_002_wall.png
3,wall,wall,6,7,1,6,0.166667,0.666667,11.235553,8.017270,20.000000,0 4 3 2 1 5,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.8e534dc8582f6b4750a6af317d60282d\visualizations\shape_003_wall.png
4,wall,wall,4,5,1,4,0.000000,1.000000,6.643483,13.849181,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.8e534dc8582f6b4750a6af317d60282d\visualizations\shape_004_wall.png
5,wall,wall,8,9,1,8,1.000000,1.000000,6.033904,1.591639,20.000000,2 3 4 5 6 7 0 1,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.8e534dc8582f6b4750a6af317d60282d\visualizations\shape_005_wall.png
6,wall,wall,6,7,1,6,1.000000,1.000000,14.066838,7.264257,20.000000,2 3 4 5 0 1,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.8e534dc8582f6b4750a6af317d60282d\visualizations\shape_006_wall.png
7,wall,wall,6,7,1,6,0.166667,0.666667,8.849823,5.622237,20.000000,0 4 3 2 1 5,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.8e534dc8582f6b4750a6af317d60282d\visualizations\shape_007_wall.png
8,wall,wall,4,5,1,4,0.000000,1.000000,8.787852,13.719555,20.000000,1 0 3 2,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.8e534dc8582f6b4750a6af317d60282d\visualizations\shape_008_wall.png
9,wall,wall,4,5,1,4,0.250000,0.500000,8.273696,12.997932,20.000000,0 2 1 3,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.8e534dc8582f6b4750a6af317d60282d\visualizations\shape_009_wall.png
10,wall,wall,4,5,1,4,1.000000,1.000000,0.586062,0.590558,20.000000,2 3 0 1,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.8e534dc8582f6b4750a6af317d60282d\visualizations\shape_010_wall.png
11,wall,wall,6,7,1,6,1.000000,1.000000,0.004658,0.003895,20.000000,2 3 4 5 0 1,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.8e534dc8582f6b4750a6af317d60282d\visualizations\shape_011_wall.png
12,wall,wall,10,11,1,10,0.000000,1.000000,12.227866,4.506372,20.000000,9 8 7 6 5 4 3 2 1 0,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.8e534dc8582f6b4750a6af317d60282d\visualizations\shape_012_wall.png
13,wall,wall,8,9,1,8,1.000000,1.000000,4.712929,4.505231,20.000000,2 3 4 5 6 7 0 1,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.8e534dc8582f6b4750a6af317d60282d\visualizations\shape_013_wall.png
14,wall,wall,32,33,1,32,0.000000,1.000000,14.729745,2.308249,20.000000,31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.8e534dc8582f6b4750a6af317d60282d\visualizations\shape_014_wall.png
15,wall,wall,14,15,1,14,1.000000,1.000000,8.531159,2.085868,20.000000,2 3 4 5 6 7 8 9 10 11 12 13 0 1,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.8e534dc8582f6b4750a6af317d60282d\visualizations\shape_015_wall.png
16,wall,wall,22,23,1,22,1.000000,1.000000,3.568957,0.527229,20.000000,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 0 1,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.8e534dc8582f6b4750a6af317d60282d\visualizations\shape_016_wall.png
17,wall,wall,6,7,1,6,1.000000,1.000000,0.245642,0.179777,20.000000,2 3 4 5 0 1,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.8e534dc8582f6b4750a6af317d60282d\visualizations\shape_017_wall.png
18,wall,wall,6,7,1,6,1.000000,1.000000,0.360610,0.266017,20.000000,2 3 4 5 0 1,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.8e534dc8582f6b4750a6af317d60282d\visualizations\shape_018_wall.png
19,others,others,4,5,1,4,1.000000,1.000000,0.799048,1.238252,20.000000,2 3 0 1,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.8e534dc8582f6b4750a6af317d60282d\visualizations\shape_019_others.png
20,balcony,balcony,4,5,1,2,0.000000,0.000000,6.337827,4.992923,20.000000,0 2,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.8e534dc8582f6b4750a6af317d60282d\visualizations\shape_020_balcony.png
21,bed_room,bed_room,4,5,1,2,0.000000,0.000000,7.787056,7.126247,20.000000,0 2,roboflow\cap_evaluation\TE_D_00040\TE_D_00040_png.rf.8e534dc8582f6b4750a6af317d60282d\visualizations\shape_021_bed_room.png
