shape_idx,orig_label,rf_label,n_points_orig,n_points_rf,label_match,recovered_vertices,cap_strict,cap_bidir,align_rmse,mean_nn_dist,distance_threshold,recovered_indices,visualization_path
0,wall,wall,12,12,1,12,1.000000,1.000000,0.000351,0.000244,20.000000,0 1 2 3 4 5 6 7 8 9 10 11,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.79a339603589aecc2a43fbd6dd1378f9\visualizations\shape_000_wall.png
1,wall,wall,8,8,1,8,1.000000,1.000000,0.000361,0.000326,20.000000,0 1 2 3 4 5 6 7,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.79a339603589aecc2a43fbd6dd1378f9\visualizations\shape_001_wall.png
2,wall,wall,12,12,1,12,1.000000,1.000000,0.000384,0.000388,20.000000,0 1 2 3 4 5 6 7 8 9 10 11,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.79a339603589aecc2a43fbd6dd1378f9\visualizations\shape_002_wall.png
3,wall,wall,4,4,1,4,1.000000,1.000000,0.000193,0.000327,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.79a339603589aecc2a43fbd6dd1378f9\visualizations\shape_003_wall.png
4,wall,wall,4,4,1,4,1.000000,1.000000,0.000000,0.000000,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.79a339603589aecc2a43fbd6dd1378f9\visualizations\shape_004_wall.png
5,wall,wall,8,8,1,8,1.000000,1.000000,0.000247,0.000338,20.000000,0 1 2 3 4 5 6 7,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.79a339603589aecc2a43fbd6dd1378f9\visualizations\shape_005_wall.png
6,wall,wall,4,4,1,4,1.000000,1.000000,0.000184,0.000197,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.79a339603589aecc2a43fbd6dd1378f9\visualizations\shape_006_wall.png
7,wall,wall,4,4,1,4,1.000000,1.000000,0.000290,0.000395,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.79a339603589aecc2a43fbd6dd1378f9\visualizations\shape_007_wall.png
8,wall,wall,4,4,1,4,1.000000,1.000000,0.000183,0.000246,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.79a339603589aecc2a43fbd6dd1378f9\visualizations\shape_008_wall.png
9,wall,wall,12,12,1,12,1.000000,1.000000,0.000474,0.000277,20.000000,0 1 2 3 4 5 6 7 8 9 10 11,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.79a339603589aecc2a43fbd6dd1378f9\visualizations\shape_009_wall.png
10,wall,wall,4,4,1,4,1.000000,1.000000,0.000173,0.000336,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.79a339603589aecc2a43fbd6dd1378f9\visualizations\shape_010_wall.png
11,wall,wall,18,18,1,18,1.000000,1.000000,0.000681,0.000397,20.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.79a339603589aecc2a43fbd6dd1378f9\visualizations\shape_011_wall.png
12,wall,wall,12,12,1,12,1.000000,1.000000,0.000396,0.000367,20.000000,0 1 2 3 4 5 6 7 8 9 10 11,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.79a339603589aecc2a43fbd6dd1378f9\visualizations\shape_012_wall.png
13,wall,wall,8,8,1,8,1.000000,1.000000,0.000290,0.000236,20.000000,0 1 2 3 4 5 6 7,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.79a339603589aecc2a43fbd6dd1378f9\visualizations\shape_013_wall.png
14,wall,wall,4,4,1,4,1.000000,1.000000,0.000222,0.000298,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.79a339603589aecc2a43fbd6dd1378f9\visualizations\shape_014_wall.png
15,wall,wall,4,4,1,4,1.000000,1.000000,0.000336,0.000433,20.000000,0 1 2 3,roboflow\cap_evaluation\TE_D_00051\TE_D_00051_png.rf.79a339603589aecc2a43fbd6dd1378f9\visualizations\shape_015_wall.png
