file,source_shape_index,label,component_index,original_vertex_count,surviving_vertices,cap_strict,cap_bidir,indices
TE_C_00012_ce52c9_aug.json,0,wall,0,12,12,1.000000,1.000000,0 1 2 3 4 5 6 7 8 9 10 11
TE_C_00012_ce52c9_aug.json,1,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_C_00012_ce52c9_aug.json,2,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_C_00012_ce52c9_aug.json,3,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_C_00012_ce52c9_aug.json,4,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_C_00012_ce52c9_aug.json,5,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_C_00012_ce52c9_aug.json,6,wall,0,8,8,1.000000,1.000000,0 1 2 3 4 5 6 7
TE_C_00012_ce52c9_aug.json,7,wall,0,6,6,1.000000,1.000000,0 1 2 3 4 5
TE_C_00012_ce52c9_aug.json,8,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_C_00012_ce52c9_aug.json,9,wall,0,19,19,1.000000,1.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18
TE_C_00012_ce52c9_aug.json,10,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_C_00012_ce52c9_aug.json,11,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_C_00012_ce52c9_aug.json,12,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_C_00012_ce52c9_aug.json,13,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_C_00012_ce52c9_aug.json,14,wall,0,6,6,1.000000,1.000000,0 1 2 3 4 5
TE_C_00012_ce52c9_aug.json,15,wall,0,6,6,1.000000,1.000000,0 1 2 3 4 5
TE_C_00012_ce52c9_aug.json,16,wall,0,16,16,1.000000,1.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
TE_C_00012_ce52c9_aug.json,17,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_C_00012_ce52c9_aug.json,18,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_C_00012_ce52c9_aug.json,19,wall,0,10,10,1.000000,1.000000,0 1 2 3 4 5 6 7 8 9
TE_C_00012_ce52c9_aug.json,20,wall,0,8,8,1.000000,1.000000,0 1 2 3 4 5 6 7
TE_C_00012_ce52c9_aug.json,21,wall,0,22,22,1.000000,1.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
TE_C_00012_ce52c9_aug.json,22,wall,0,6,6,1.000000,1.000000,0 1 2 3 4 5
TE_C_00012_ce52c9_aug.json,23,wall,0,14,14,1.000000,1.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13
TE_C_00012_ce52c9_aug.json,25,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_C_00012_ce52c9_aug.json,27,balcony,0,4,4,1.000000,1.000000,0 1 2 3
TE_C_00012_ce52c9_aug.json,28,bed_room,0,4,4,1.000000,1.000000,0 1 2 3
TE_C_00012_ce52c9_aug.json,29,dressing_room,0,4,4,1.000000,1.000000,0 1 2 3
TE_C_00012_ce52c9_aug.json,30,bathroom,0,4,4,1.000000,1.000000,0 1 2 3
TE_C_00012_ce52c9_aug.json,31,others,0,4,4,1.000000,1.000000,0 1 2 3
TE_C_00012_ce52c9_aug.json,32,others,0,6,6,1.000000,1.000000,0 1 2 3 4 5
TE_C_00012_ce52c9_aug.json,33,balcony,0,6,6,1.000000,1.000000,0 1 2 3 4 5
TE_C_00012_ce52c9_aug.json,34,others,0,4,4,1.000000,1.000000,0 1 2 3
TE_C_00012_ce52c9_aug.json,35,balcony,0,4,4,1.000000,1.000000,0 1 2 3
TE_C_00012_ce52c9_aug.json,36,bed_room,0,4,4,1.000000,1.000000,0 1 2 3
TE_C_00012_ce52c9_aug.json,37,bathroom,0,5,5,1.000000,1.000000,0 1 2 3 4
TE_C_00012_ce52c9_aug.json,38,others,0,4,4,1.000000,1.000000,0 1 2 3
TE_C_00012_ce52c9_aug.json,39,bed_room,0,6,6,1.000000,1.000000,0 1 2 3 4 5
TE_C_00012_ce52c9_aug.json,40,balcony,0,6,6,1.000000,1.000000,0 1 2 3 4 5
TE_C_00012_ce52c9_aug.json,41,entrance,0,8,8,1.000000,1.000000,0 1 2 3 4 5 6 7
TE_C_00012_ce52c9_aug.json,42,living_kitchen,0,15,15,1.000000,1.000000,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
TE_C_00012_ce52c9_aug.json,43,wall,0,4,4,1.000000,1.000000,0 1 2 3
TE_C_00012_ce52c9_aug.json,44,others,0,4,4,1.000000,1.000000,0 1 2 3
TE_C_00012_ce52c9_aug.json,45,background,0,27,7,0.714286,0.714286,17 18 19 20 24 25 26
TE_C_00012_ce52c9_aug.json,45,background,1,27,12,0.833333,0.833333,7 8 9 10 11 12 13 14 15 16 21 22
TE_C_00012_ce52c9_aug.json,45,background,2,27,8,0.750000,0.750000,0 1 2 3 4 5 6 23
